MouseID,Generation,Born_Date,Test_Date,Age,BodyWeight,Forepaws_T1,Forepaws_T2,Forepaws_T3,AllPaws_T1,AllPaws_T2,AllPaws_T3
DO-2D-4062,G23_W2,6/21/16,4/28/17,44,36.72,107.216,127.468,156.058,278.761,292.461,253.744
DO-2D-4063,G23_W2,6/21/16,4/28/17,44,31.9,110.789,151.889,89.942,165.589,184.054,166.78
DO-2D-4064,G23_W2,6/21/16,4/28/17,44,20.89,163.206,145.337,125.681,219.197,242.427,363.939
DO-AL-0017,G22_W2,3/1/16,12/27/16,43,16.66,25.981,32.036,35.958,112.89,109.743,118.873
DO-AL-0018,G22_W2,3/1/16,12/27/16,43,43.88,79.934,83.499,87.081,147.123,138.894,167.093
DO-AL-0019,G22_W2,3/1/16,12/27/16,43,47.88,97.206,83.989,85.386,139.144,122.478,133.172
DO-AL-0020,G22_W2,3/1/16,12/27/16,43,47.32,97.75,103.175,83.563,159.879,153.057,124.492
DO-AL-0021,G22_W2,3/1/16,12/27/16,43,21.61,92.943,75.462,89.067,172.981,167.75,180.229
DO-AL-0023,G22_W2,3/1/16,12/27/16,43,28,83.951,96.239,95.58,164.492,154.918,175.539
DO-AL-0024,G22_W2,3/1/16,12/27/16,43,47.72,84.301,78.603,86.936,157.785,133.019,132.166
DO-AL-0025,G22_W2,3/1/16,12/27/16,43,28.3,100.617,96.818,108.835,188.794,158.329,174.222
DO-AL-0026,G22_W2,3/1/16,12/27/16,43,31.07,113.833,91.237,95.074,178.911,180.547,176.788
DO-AL-0027,G22_W2,3/1/16,12/27/16,43,51.21,93.293,81.464,88.052,192.098,187.941,213.483
DO-AL-0028,G22_W2,3/1/16,12/27/16,43,38.69,87.965,99.71,114.492,186.392,204.957,213.407
DO-AL-0029,G22_W2,3/1/16,12/27/16,43,38.34,75.889,86.586,97.75,143.525,122.749,173.098
DO-AL-0030,G22_W2,3/1/16,12/27/16,43,30.31,87.944,88.253,91.549,124.26,155.501,178.756
DO-AL-0031,G22_W2,3/1/16,12/27/16,43,26.82,103.594,119.819,97.982,152.631,122.787,166.624
DO-AL-0032,G22_W2,3/1/16,12/27/16,43,34.36,118.95,126.003,107.982,186.042,191.74,197.763
DO-20-1017,G22_W2,3/1/16,12/27/16,43,32.03,99.338,100.998,111.246,218.918,205.144,198.764
DO-20-1018,G22_W2,3/1/16,12/27/16,43,29.7,81.847,96.184,100.948,164.26,153.483,158.6
